Test Ejecutado,Ciclos,Instr,CPI,Stalls_Mem,Stalls_Control,L1_Reads,L1_Writes,L1_Read_Hits,L1_Read_Misses,L1_Write_Hits,L1_Write_Misses,L1_Hit_Rate,L1_Miss_Rate,L2_Accesses,L2_Reads,L2_Writes,L2_Hits,L2_Misses,L2_Hit_Rate,L2_Miss_Rate,Memory_Accesses,Mem_Transfer_Cycles,BW_Util,IPC,AMAT,Code_Size_Bytes,Compile_ms,Opt_Unrolled,Opt_DCE_Removed,Opt_Reordered,Opt_Renamed
while loop x<5,178,59,3.016949,96,7,12,8,11,1,5,3,80.00,20.00,9,1,8,5,4,55.56,44.44,9,104,58.43,0.3315,4.82,112,,,,,
bench_seq (O0),21982,9251,2.376176,9644,1029,1026,1029,992,34,772,257,85.84,14.16,1063,34,1029,772,291,72.62,27.38,1063,19000,86.43,0.4208,3.10,252,87,0,0,0,0
bench_seq (O1),13680,5955,2.297229,6718,197,610,613,576,34,356,257,76.21,23.79,647,34,613,356,291,55.02,44.98,647,11528,84.27,0.4353,5.58,636,106,2,0,0,12
bench_seq (O2),27034,9763,2.769026,13928,1029,1282,1285,1248,34,1028,257,88.66,11.34,1319,34,1285,1028,291,77.94,22.06,1319,23548,87.11,0.3611,2.53,260,120,0,0,3,0
bench_seq (O3),13680,5955,2.297229,6718,197,610,613,576,34,356,257,76.21,23.79,647,34,613,356,291,55.02,44.98,647,11528,84.27,0.4353,5.58,636,110,2,0,6,12
bench_stride (O0),4059,1187,3.419545,2473,133,130,133,97,33,97,36,73.76,26.24,166,33,133,97,69,58.43,41.57,166,2891,71.22,0.2924,5.83,252,100,0,0,0,0
bench_stride (O1),3019,775,3.895484,2105,29,78,81,45,33,45,36,56.60,43.40,114,33,81,45,69,39.47,60.53,114,1955,64.76,0.2567,11.04,636,107,2,0,0,12
bench_stride (O2),4682,1251,3.742606,3000,133,162,165,129,33,129,36,78.90,21.10,198,33,165,129,69,65.15,34.85,198,3452,73.73,0.2672,4.53,260,100,0,0,3,0
bench_stride (O3),3037,775,3.918710,2123,29,78,81,45,33,45,36,56.60,43.40,114,33,81,45,69,39.47,60.53,114,1959,64.50,0.2552,11.04,636,104,2,0,6,12
bench_random (O0),60212,23964,2.512602,28072,2885,2883,2886,2821,62,2404,482,90.57,9.43,2948,62,2886,2404,544,81.55,18.45,2948,52796,87.68,0.3980,2.19,336,101,0,0,0,0
bench_random (O1),51812,21024,2.464422,24712,2045,2463,2466,2401,62,1984,482,88.96,11.04,2528,62,2466,1984,544,78.48,21.52,2528,45236,87.31,0.4058,2.48,588,105,1,0,0,9
bench_random (O2),69802,24922,2.800819,36224,2885,3363,3366,3301,62,2884,482,91.92,8.08,3428,62,3366,2884,544,84.13,15.87,3428,61428,88.00,0.3570,1.97,336,118,0,1,3,0
bench_random (O3),61402,21982,2.793285,32864,2045,2943,2946,2881,62,2464,482,90.76,9.24,3008,62,2946,2464,544,81.91,18.09,3008,53868,87.73,0.3580,2.16,588,105,1,1,3,9
bench_mmul (O0),110628,28799,3.841383,73536,1575,8412,5479,8384,28,5280,199,98.37,1.63,5507,28,5479,5280,227,95.88,4.12,5507,98918,89.41,0.2603,1.15,736,108,0,0,0,0
bench_mmul (O1),108786,28734,3.785968,72280,1367,8955,5382,8926,29,5182,200,98.40,1.60,5411,29,5382,5182,229,95.77,4.23,5411,97230,89.38,0.2641,1.14,1352,113,2,0,0,27
bench_mmul (O2),121972,29939,4.074017,83164,1575,8988,6050,8960,28,5856,194,98.52,1.48,6075,28,6047,5853,222,96.35,3.65,6075,109128,89.47,0.2455,1.13,704,111,0,6,7,0
bench_mmul (O3),118934,29746,3.998319,80904,1367,9467,5889,9438,29,5693,196,98.53,1.47,5918,29,5889,5693,225,96.20,3.80,5918,106356,89.42,0.2501,1.13,1312,114,2,6,10,27
